Name,Status,MapLabet,MW_Name,Project_Types,Cogen,County,City,State,Zip,RecID,OldName,latitude,longitude,Employees,Owner
Columbia Plywood,Operational,Columbia Plywood,,Thermal,N/A,Klamath,Klamath Falls,OR,97601,104,,42.179712,-121.798302,,Columbia Forest Products
California Wood Shavings Biomass Dryer,Operational,California Wood Shavings Biomass Dryer,,Thermal - Wood boiler,N/A,Tuolumne,Jamestown,CA,95327,136,,37.838344,-120.5064,,American Wood Fiber
Collins Pine Biomass (Klamath Falls),Operational,Collins Pine Biomass (Klamath Falls),,Unknown,N/A,Klamath,Klamath Falls,OR,97601,102,,42.16992,-121.818424,,Collins Pine Company
Quincy Project,Proposal,Quincy Project,3,Thermal,N/A,Plumas,Quincy,CA,95971,62,,39.936666,-120.946199,,Unknown
Rio Bravo Jasmin Proposed Conversion,Proposal,Rio Bravo Jasmin Proposed Conversion,35,"Co-fire or conversion (from coal, petcoke or TDF)",Y,Kern,Bakersfield,CA,93215,32,,35.741508,-119.050911,,IHI Power 50% North American Power Group 50%
Rio Bravo Poso Proposed Conversion,Proposal,Rio Bravo Poso Proposed Conversion,35,"Co-fire or conversion (from coal, petcoke or TDF), CFB",Y,Kern,Bakersfield,CA,93308,33,,35.547497,-119.075265,,IHI Power 50% North American Power Group 50%
Devils Garden Conservation Camp Proposed Project,Proposal,Devils Garden Conservation Camp Proposed Project (Thermal),,Thermal,N/A,Modoc,Alturas,CA,96101,63,,41.523309,-120.66971,,CDF?
Trinity River Conservation Camp Proposed Project,Proposal,Trinity River Conservation Camp Proposed Project (Thermal),,Thermal,N/A,Trinity,Lewiston,CA,96052,64,,40.78939,-122.802506,,Cal Fire
California Ethanol & Power LLC,Proposal,California Ethanol & Power LLC,49.9,Unknown,N/A,Imperial,Brawley,CA,92227,105,,32.91631,-115.522232,,CE&P
Trinity River Lumber,Proposal,Trinity River Lbr.,5,Unknown,N/A,Trinity,Weaverville,CA,96093,106,,40.72493,-122.930638,,Trinity River Lumber
Mariposa BioMAT Project,Proposal,Mariposa BioMAT Project,,Unknown,N/A,Mariposa,Mariposa,CA,,140,,37.505994,-120.012666,,
Round Valley BioMAT Project,Proposal,Round Valley BioMAT Project,,Unknown,N/A,Mendocino,Covelo,CA,,142,,39.80247641,-123.2495589,,
Branscomb BioMAT Project,Proposal,Branscomb BioMAT Project,,Unknown,N/A,Mendocino,Branscomb,CA,,143,,39.65483903,-123.6251896,,
Auberry BioMAT Project,Proposal,Auberry BioMAT Project,,Unknown,N/A,Fresno,Auberry,CA,93602,144,,37.065986,-119.492349,,
