Name,Status,YearClosed,Names_Prior_Manual,MillType,Feedstock,Products,Species,City,State,Zip,PrimaryKey,latitude,longitude
P&M Mt. Shasta Mill,Closed,1991,,Sawmill,Logs,Lumber,,Mount Shasta,CA,96067 ?,9077,41.326214,-122.316631
Cornett Lumber Company,Closed,1991,,Sawmill,Logs,Lumber,,Placerville/Smith Flat,CA,95667 ?,9088,38.737954,-120.754462
Louisiana Pacific (Red Bluff),Closed,1991,,Sawmill,Logs,Lumber,,Red Bluff,CA,96080 ?,9093,40.133429,-122.202967
Roseburg Forest Products *,Closed,1991,Diamond Lands,Sawmill,Logs,Lumber,,Red Bluff,CA,96080 ?,9092,40.165498,-122.231812
Pilot Lumber,Closed,1991,,Sawmill,Logs,Lumber,,Willow Creek,CA,95573 ?,9130,40.942856,-123.626234
WTD Industries,Closed,1992,,Sawmill,Logs,Lumber,,Alturas,CA,96101 ?,9005,41.485402,-120.57697
SPI Sloat Sawmill,Closed,1992,"DG Shelter Products, Feather River Lumber",Sawmill,Logs,Lumber,,Cromberg,CA,96103 ?,9156,39.863124,-120.72771
Bohemia *,Closed,1992,,Sawmill,Logs,Lumber,,Grass Valley,CA,95945 ?,9057,39.210572,-121.016481
Bald Knob Land & Timber Co.,Closed,1992,Cornett Lumber Company,Sawmill,Logs,Lumber,,Oroville,CA,95965 ?,9083,39.492119,-121.563359
Redding Power,Closed,1992,,Sawmill,Logs,Lumber,,Redding,CA,96001 ?,9098,40.509517,-122.424433
Redwood Empire,Closed,1992,Sequoia Forest Products,Sawmill,Logs,Lumber,,Soledad,CA,93960 ?,9105,36.416918,-121.315902
Roseburg Forest Products,Closed,1993,Paul Bunyan,Sawmill,Logs,Lumber,,Anderson,CA,96007 ?,9007,40.436626,-122.276119
Heyrend Lumber Co.,Closed,1993,,Sawmill,Logs,Lumber,,Artois,CA,95913 ?,9018,39.624125,-122.193279
Louisiana Pacific (Cloverdale),Closed,1993,,Sawmill,Logs,Lumber,,Cloverdale,CA,95425 ?,9038,38.785937,-123.002653
Louisiana Pacific (Covelo),Closed,1993,,Sawmill,Logs,Lumber,,Covelo,CA,95428 ?,9040,39.8174833,-123.20695
Stone Forest Products (Happy Camp),Closed,1993,Southwest Forest Industries,Sawmill,Logs,Lumber,,Happy Camp,CA,96039 ?,9059,41.800375,-123.36769
Feather River Forest Products,Closed,1993,,Sawmill,Logs,Lumber,,Marysville,CA,95901 ?,9071,39.128913,-121.572696
Louisiana Pacific(Oroville),Closed,1993,,Sawmill,Logs,Lumber,,Oroville,CA,95965 ?,9085,39.473057,-121.57134
Crane Mills,Closed,1993,,Sawmill,Logs,Lumber,,Paskenta,CA,96074,9086,39.885429,-122.541257
Snider Lumber,Closed,1993,Snider Lumber,Sawmill,Logs,Lumber,,Turlock,CA,95380 ?,9116,37.489468,-120.845266
Big Valley Lumber,Closed,1994,Edgerton Lumber Co,Sawmill,Logs,,,Adin,CA,,9136,41.199896,-120.941497
Georgia Pacific,Closed,1994,American Forest Products,Sawmill,Logs,Lumber,,Foresthill,CA,95631 ?,9048,39.019667,-120.830309
Susanville Forest Products,Closed,1994,,Sawmill,Logs,Lumber,,Susanville,CA,96130 ?,9111,40.40031,-120.622419
P&M Anderson Mill,Closed,1995,,Sawmill,Logs,Lumber,,Anderson,CA,96007 ?,9006,40.46978,-122.327068
Sequoia Forest Products,Closed,1995,,Sawmill,Logs,Lumber,,Auberry,CA,93602 ?,9019,37.066082,-119.492324
Miller Redwood,Closed,1995,,Sawmill,Logs,Lumber,,Crescent City,CA,95548 ?,9042,41.735486,-124.097305
CW Mills,Closed,1995,,Sawmill,Logs,Lumber,,Fortuna,CA,95540 ?,9049,40.557569,-124.145619
