Name,Status,MapLabel,MWNameplate,Project_Type,Cogen_Status,County,City,State,Zip,RecID,Latitude,Longitude,OldName,Approval_Date,Delivery_Date,Contract_Term,IOU,PPA,MapIcon,RecID
Diamond Walnut,Non-operational,Diamond Walnut Biomass Power,4.5,Biomass solid fuel,not cogen,San Joaquin County,Stockton,CA,95201,13,37.950083,-121.254484,,,,,,,grn_circle,35
Mesquite Lake Resource Recovery,Non-operational,Mesquite Lake Resource Recovery Power,18.5,Biomass solid fuel,not cogen,Imperial County,El Centro,CA,92227,24,32.90381,-115.512373,"Scotia Power, PALCO",11/8/2014,,,PG&E,,orange_circle,36
Sierra Biomass (Auberry),Non-operational,Sierra Biomass Power,15,Biomass solid fuel,not cogen,Fresno County,Auberry,CA,93602,37,37.065354,-119.491147,Auberry,,,20,SCE,,wht_blank,37
Soledad Energy,Non-operational,Soledad Energy,,Biomass solid fuel,not cogen,Monterey County,Soledad,CA,93960,39,36.416976,-121.315617,Terra Bella,3/9/2014,10/23/2003,5,PG&E,ftp://ftp.cpuc.ca.gov/RPS_PPAs/PGE_Sierra/,wht_circle,38
SPI Anderson I,Closed,SPI Anderson I,4,Biomass solid fuel,cogen,Shasta County,Anderson,CA,96007,41,40.472715,-122.323162,,,,,,,wht_blank,39
Susanville,Non-operational,Susanville Biomass Power Project,12.5,Biomass solid fuel,not cogen,Lassen County,Susanville,CA,96130,47,40.408256,-120.644821,,1/13/2014,1/16/2013,5,PG&E,4102-E,grn_circle,40
Freshwater Pulp,Non-operational,Freshwater Pulp Biomass Power,50,Chemical recovery,cogen,Humboldt County,Samoa,CA,95564,17,40.805519,-124.195843,,1/13/2014,1/16/2013,5,PG&E,4102-E,grn_circle,41
AES Delano,Non-Operational,AES Delano,50,Unknown,Unknown,Kern County,Delano,CA,93250,108,35.721901,-119.233356,,1/13/2014,1/16/2013,5,PG&E,4102-E,ylw_circle,42
Liberty V Biofuels,Non-Operational,Amended and Restated Liberty V Biofuels,4.5,Unknown,Unknown,Kern County,Lost Hills,CA,,109,35.679797,-119.796498,,1/13/2014,1/16/2013,5,PG&E,4102-E,grn_circle,43
Bull Moose Energy Otay Mesa Biomass Facility,Non-Operational,Bull Moose,20,Unknown,Unknown,San Diego County,San Diego,CA,,110,32.566906,-116.941888,,1/13/2014,1/16/2013,5,PG&E,4102-E,orange_blank,44
Envirepel Fallbrook,Non-Operational,Envirepel Fallbrook,40,Unknown,Unknown,San Diego County,Fallbrook,CA,92028,112,33.333935,-117.145164,,1/13/2014,1/16/2013,5,PG&E,4102-E,grn_circle,45
Envirepel Ramona,Non-Operational,Envirepel Ramona,5,Unknown,Unknown,San Diego County,Ramona,CA,92065,114,33.085519,-116.863258,,,,,,,grn_circle,46
Envirepel Vista,Non-Operational,KittyHawk,2,Unknown,Unknown,San Diego County,Vista,CA,92081,115,33.147989,-117.235388,SPI Susanville,,,,,,wht_blank,47
Imperial Valley Biopower,Non-Operational,Imperial Valley Biopower,20,Unknown,Unknown,Imperial County,Brawley,CA,92227,117,32.903407,-115.534379,,,,,,,orange_blank,48
Liberty 1 Biofuels Power,Non-Operational,Liberty 1 Biofuels Power,5,Unknown,Unknown,Imperial County,El Centro,CA,92251,118,32.912743,-115.510335,,8/8/2014,7/1/2008,10,PG&E,ftp://ftp.cpuc.ca.gov/RPS_PPAs/Wadham PPA_Public.pdf,grn_blank,49
Wheelabrator No.4,Non-Operational,Wheelabrator No.4,3,Unknown,Unknown,Shasta County,Cottonwood,CA,96007,121,40.428435,-122.2769,,,,,,,orange_blank,50
Sonoma Green Energy,Non-Operational,Sonoma Green Energy,1,Unknown,Unknown,Sonoma,Petaluma,CA,,126,38.301876,-122.754976,,,,,PG&E,,grn_blank,51
Burney Forest Power,Operational,Burney Forest Power,31,Biomass solid fuel,cogen,Shasta County,Burney,CA,96013,5,40.879724,-121.720406,,1/10/2014,1/26/2010,41923,PG&E,ftp://ftp.cpuc.ca.gov/rps_ppas/20090416_33R075_PPA_Public.pdf,grn_blank,52
Chowchilla,Operational,Chowchilla Biomass Power,12.5,Biomass solid fuel,not cogen,Madera County,Chowchilla,CA,93610,8,37.107146,-120.248871,,,,,,,ylw_blank,53
Collins Pine Co. Project,Operational,Collins Pine Biomass Power,12,Biomass solid fuel,cogen,Plumas County,Chester,CA,96020,9,40.302842,-121.244088,,,,,,,wht_blank,54
Desert View,Operational,Greenleaf Desert View Power,,Biomass solid fuel,not cogen,Riverside County,Mecca,CA,92254,10,33.586491,-116.087907,,,,,,,wht_blank,55
"Dinuba Energy, Inc",Idle,Dinuba Energy,12,Biomass solid fuel,not cogen,Tulare County,Dinuba,CA,93654,14,36.569581,-119.418984,,,,,,,grn_circle,56
Honey Lake Power,Operational,Greenleaf Honey Lake Power,35.5,Biomass solid fuel,not cogen,Lassen County,Wendel,CA,96136,18,40.368492,-120.264999,,,,,,,grn_circle,57
Merced Power (El Nido),Operational,Merced Power,,Biomass solid fuel,not cogen,Merced County,El Nido,CA,95317,23,37.186982,-120.490162,,,,,,,grn_circle,58
Pacific Ultrapower Chinese Station,Operational,Pacific Ultrapower Chinese Station Power,22,Biomass solid fuel,not cogen,Tuolumne County,Jamestown,CA,95327,28,37.874644,-120.477546,,,,,,,ylw_blank,59
Rio Bravo Fresno,Operational,Rio Bravo Fresno Biomass Power,25,Biomass solid fuel,not cogen,Fresno County,Fresno,CA,93725,31,36.688823,-119.723405,,,,,,,ylw_blank,60
Rio Bravo Rocklin,Operational,Rio Bravo Rocklin Biomass Power,25,Biomass solid fuel,not cogen,Placer County,Rocklin,CA,95648,34,38.831829,-121.313601,,,,,,,ylw_blank,61
Roseburg Forest Products,Operational,Roseburg Forest Products Biomass Power,,Biomass solid fuel,cogen,Siskiyou County,Weed,CA,96094,35,41.434612,-122.377895,,,,,,,purple_blank,62
SPI Burney,Operational,SPI Burney Biomass Power,20,Biomass solid fuel,cogen,Shasta County,Burney,CA,96013,40,40.876759,-121.701845,,,,,,,purple_blank,63
SPI Anderson II,Operational,SPI Anderson Biomass Power II,30.15,Biomass solid fuel,cogen,Shasta County,Anderson,CA,96007,42,40.47185,-122.324034,,,,,,,purple_blank,64
SPI Lincoln,Operational,SPI Lincoln Biomass Power,19.2,Biomass solid fuel,cogen,Placer County,Lincoln,CA,95648,43,38.902678,-121.309604,,,,,,,wht_blank,101
SPI Quincy,Operational,SPI Quincy Biomass Power,27.5,Biomass solid fuel,cogen,Plumas County,Quincy,CA,95971,45,39.940962,-120.909161,,,,,,,grn_blank,102
SPI Sonora,Operational,SPI Sonora Standard Biomass Power,7.5,Biomass solid fuel,cogen,Tuolumne County,Sonora,CA,95373,46,37.965999,-120.318,,,,,,,grn_blank,103
Wadham,Operational,Wadham Biomass Power,,Biomass solid fuel,not cogen,Colusa County,Williams,CA,95987,49,39.105574,-122.110131,,,,,,,grn_blank,104
Wheelabrator Shasta,Operational,Wheelabrator Shasta Biomass Energy,58,Biomass solid fuel,not cogen,Shasta County,Anderson,CA,96007,51,40.429592,-122.278243,,,,,,,purple_blank,105
Woodland Biomass Power Ltd.,Operational,DTE Woodland Biomass Power,,Biomass solid fuel,not cogen,Yolo County,Woodland,CA,95776,52,38.691304,-121.737132,,,,,,,purple_blank,106
Biomass One LP,Operational,Biomass One LP,,Biomass solid fuel,cogen,Jackson County,White City,OR,97503,56,42.436149,-122.849501,,,,,,,wht_circle,107
Rough & Ready Power,Idle,Rough & Ready Power,,Biomass solid fuel,cogen,Josephine County,Cave Junction,OR,97523,57,42.106133,-123.677315,,,,5,SDG&E,ftp://ftp.cpuc.ca.gov/RPS_PPAs/SDGE AES Delano.pdf,wht_blank,108
Buena Vista Biomass Power,Idle,Buena Vista Biomass Power,18.5,"Co-fire or conversion (from coal, petcoke or TDF)",not cogen,Amador County,Ione,CA,95640,4,38.27792,-120.913763,,10/6/2014,12/31/2009,15,PG&E,http://docs.cpuc.ca.gov/published/Final_resolution/78729.htm,wht_blank,109
DTE Stockton (POSDEF),Operational,DTE Stockton Biomass Power,50,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,San Joaquin County,Stockton,CA,95201,16,37.943945,-121.330053,,,,20,SDG&E,,wht_blank,110
Mt. Poso Cogeneration,Operational,DTE Mt. Poso Cogen,,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,Kern County,Bakersfield,CA,93308,25,35.576448,-119.005818,,,,15,SDG&E,http://docs.cpuc.ca.gov/Published/Final_decision/37423.htm,wht_blank,112
Cal Forest Nursery,Operational,Cal Forest Nursery Gasifier,0.07,Gasification,cogen,Siskiyou County,Etna,CA,96027,7,41.475178,-122.829037,,,6/1/2009,15,SDG&E,,wht_blank,114
Dixon Ridge Farms,Operational,Dixon Ridge Farms Gasifier Power Pilot,,Gasification,cogen,Yolo County,Winters,CA,95776,15,38.524353,-121.903077,,,,2,SDG&E,,wht_blank,115
Timber Products,Operational,Timber Products Veneer (Yreka),,Thermal,Unknown,Siskiyou County,Yreka,CA,96097,103,41.731738,-122.589835,,,,10,PG&E,,wht_blank,116
Columbia Plywood,Operational,Columbia Plywood,,Thermal,Unknown,Klamath County,Klamath Falls,OR,97601,104,42.179712,-121.798302,,,,20,SCE,http://docs.cpuc.ca.gov/Published/Final_resolution/98605.htm,wht_blank,117
American Wood Shavings,Operational,American Wood Shavings Biomass Dryer,,Thermal,,,Jamestown,CA,95327,136,37.838344,-120.5064,,,,15,SCE,http://docs.cpuc.ca.gov/Published/Final_resolution/47553.htm,wht_blank,118
Collins Pine Co. Project,Operational,Collins Pine Biomass (Klamath Falls),,Unknown,Unknown,Klamath County,Klamath Falls,OR,97601,102,42.16992,-121.818424,,,,5,PG&E,ftp://ftp.cpuc.ca.gov/RPS_PPAs/PGE_Wheelabrator,wht_blank,121
Rio Bravo Jasmin,Proposal,Rio Bravo Jasmin Proposed Conversion,35,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,Kern County,Bakersfield,CA,93215,32,35.741508,-119.050911,,,,,,,wht_blank,123
Rio Bravo Poso,Proposal,Rio Bravo Poso Proposed Conversion,35,"Co-fire or conversion (from coal, petcoke or TDF)",cogen,Kern County,Bakersfield,CA,93308,33,35.547497,-119.075265,,,,,,,wht_blank,124
Devils Garden Conservation Camp Proposed Project,Proposal,Devils Garden Conservation Camp Proposed Project,,Thermal,Unknown,Modoc County,Alturas,CA,96101,63,41.523309,-120.66971,,,,,,,wht_blank,125
Trinity Conservation Camp Proposed Project,Proposal,Trinity River Conservation Camp Proposed Project,,Thermal,Unknown,Trinity County,Lewiston,CA,96052,64,40.78939,-122.802506,,,,,,,wht_blank,126
California Ethanol & Power LLC,Proposal,California Ethanol & Power LLC,49.9,Unknown,Unknown,Imperial County,Brawley,CA,92227,105,32.91631,-115.522232,,,,,,,ylw_blank,135
Trinity River Lbr.,Proposal,Trinity River Lbr.,5,Unknown,Unknown,Trinity County,Weaverville,CA,96093,106,40.72493,-122.930638,,,,,,,,136
