Organization Name,City,State,Year,Project Description,Award Amount,Grant Iteration,Extra,Latitude,Longitude
Mineral Community Hospital ,Superior,MT,2012,"2.64 MMBtu/hr wood pellet fired boiler system, Wood to Energy Expansion",190000,FS WBU Grant,,-114.894234,47.194363
Clearwater RC& D Idaho Correctional Institution,Orofino,ID,2012,"thermal energy system, Orofino Woody Biomass Facility Engineering Design",110000,FS WBU Grant,,-116.25514,46.479347
Eagle Valley Clean Energy,Gypsum,CO,2012,CHP project where electricity is sold to Holy Cross Energy,250000,FS WBU Grant,,-106.951711,39.64693
Riley CO Schools KS,Riley,KS,2012,wood pellet system for HS and grade school,90000,FS WBU Grant,,-96.830844,39.298885
Sanpete Valley Clean Energy,Salem,UT,2012,18 MW CHP,250000,FS WBU Grant,,-111.673536,40.05301
Port Angeles Hardwood WA,Port Angeles,WA,2012,"Nippon Pager Industries 2.5 MW CHP unit at hardwood sawmill, Replacement boiler for Nippon paper to produce CHP 20MW power and steam",250000,FS WBU Grant,,-123.430741,48.118146
Southern Oregon University,Ashland,OR,2012,replace natural gas boilers with small CHP system.,250000,FS WBU Grant,,-122.709477,42.194576
Coquille Indian Tribe,North Bend,OR,2012,"1.3 MW CHP facility electricity for casino and hotel Bend, OR.",145000,FS WBU Grant,,-124.22428,43.406501
Quinault Indian Nation,Taholah,WA,2012,themal biomass heating facility,205000,FS WBU Grant,,-124.29324,47.347305
Greenway Renewable Power LLC,LaGrange,GA,2012,"53.75 MW power plant in LaGrange, GA",250000,FS WBU Grant,,-85.031944,33.036667
Longwood University,Farmville,VA,2012,add two additional biomass boilers to already existing biomass heating systems.,250000,FS WBU Grant,,-78.39194,37.302096
City of Montpelier,Montpelier,VT,2012,Rebuild and expand district heating system for Montpelier.,248556,FS WBU Grant,,-72.575387,44.260059
County of Sullivan,Newport,NH,2012,Plan CHP district energy steam plant,250000,FS WBU Grant,,-72.173439,43.365358
"Nulato School District	Nulato, K",Nulato,AK,2012,"	thermal energy system",40420,FS WBU Grant,,-158.103056,64.719444
Oregon Army National Guard,Oregon,OR,2012,wood pellet boilers for 12 buildings at 5 sites in Oregon.,250000,FS WBU Grant,,-120.554201,43.804133
Chilkoot Indian Association,Haines,AK,2013,Chilkoot Indian Association,35000,FS WBU Grant,http://www.chilkoot-nsn.gov/,,
Ketchikan Gateway Borough,Ketchikan,AK,2013,Ketchikan Gateway Borough,143363,FS WBU Grant,http://www.borough.ketchikan.ak.us/,,
Sierra Institute for Community and Environment,Plumas County,CA,2013,Sierra Institute for Community and Environment,250000,FS WBU Grant,http://www.sierrainstitute.us/,,
Calaveras Healthy Impact Products Solution,Wilseyville,CA,2013,Calaveras Healthy Impact Products Solution,184405,FS WBU Grant,http://www.sbcouncil.org/Calaveras-Healthy-Impact-Product-Solutions-(CHIPS),,
Narragansett Regional School District,Baldwinville,MA,2013,Narragansett Regional School District,250000,FS WBU Grant,http://www.nrsd.org/,,
Stoltze Land and Lumber Company,Columbia Falls,MT,2013,Stoltze Land and Lumber Company,210988,FS WBU Grant,http://www.stoltzelumber.com/,,
New Generation Biomass,Alamogordo,NM,2013,New Generation Biomass,250000,FS WBU Grant,http://www.newgenerationbiomass.com/,,
Wisewood Inc.,Harney County,OR,2013,Wisewood Inc.,250000,FS WBU Grant,http://wisewood.us/,,
Oregon Military Department,Salem,OR,2013,Oregon Military Department,250000,FS WBU Grant,http://www.oregon.gov/omd/Pages/index.aspx,,
Menominee Tribal Enterprises,Neopit,WI,2013,Menominee Tribal Enterprises,250000,FS WBU Grant,http://www.mtewood.com/,,
"BVP Property, LLC ††††††††††††††",Bieber,CA,2014,Big Valley Lumber and Cogeneration Facility ††††††††††,250000,Wood-to-Energy,City Unconfirmed,,
Watershed Research and Training Center,Hayfork,CA,2014,System Impact Study Funding for North Fork and Wilseyville CHP Projects,96000,Wood-to-Energy,City Unconfirmed,,
"Wagner Construction, Inc. ††††††††",International Fall,MN,2014,Industrial Wood Pellet Mill ††††††††††††††††††††,250000,Wood-to-Energy,City Unconfirmed,,
Capital Regional Development Council,,NH,2014,Claremont Hot Water District Energy System,250000,Wood-to-Energy,City Unconfirmed,,
"Three Dimensional Timberlands, LLC",,OR,2014,Technical Engineering Report for Three Dimensional Timberlands Integrated Biomass Facility,33600,Wood-to-Energy,City Unconfirmed,,
"Mt. Bachelor, LLC",,OR,2014,Mt. Bachelor Biomass Thermal Energy for West and Sunrise Villages,220000,Wood-to-Energy,City Unconfirmed,,
Northern Forest Center,,VT,2014,St. Johnsbury Wood Pellet Mill Engineering Analysis,47000,Wood-to-Energy,City Unconfirmed,,
Qualco Energy,Monroe,WA,2014,Qualco Energy - Woody Biomass to Combined Heat and Power,120000,Wood-to-Energy,City Unconfirmed,,
"Wind River Biomass Utility, LLC",Hemlock,WA,2014,Wind River Biomass Combined Heat and Power Utility,100000,Wood-to-Energy,City Unconfirmed,,
