longitude,latitude,organization_name,city,state,year,project_description,award_amount,grant_iteration,extra,date,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status,column_1449770279916
,,"A Market Characterization of Salvaged Yellow-Cedar Wood Products in Southeast Alaska: Opportunities for Innovation, Ex- pansion, and Community Economic",Juneau, AK,2015,University of Alaska Southeast,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000452FA3586ECD60C058AD4CF8A5264D40,130,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,The Potential for Fuel Switching to Wood in Illinois - A Sector Study,Champaign, IL,2015,University of IL Sustainable Technol- ogy Center,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000000820B589930F56C0D74CBED9E60E4440,141,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Flexible Distributed Bio-Fuel Production from Forest Residue Targeting Hospitals for Combined Heat and Power Installa- tions,Salt Lake City, UT,2015,Clean Development International,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000744694F606F95BC0B6B9313D61614440,163,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Plumas County Energy System,Taylorsville, CA,2015,Sierra Institute for Community and Environment,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000003CA06CCA15FC5BC04C7155D977554440,137,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Composting Forest Biomass to Reduce Hazardous Fuels and Promote Forest Res- toration in the Southwest,Flagstaff, AZ,2015,Good Earth Power AZ (GEPAZ),,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000006BB75D68AEE95BC0CC28965B5A994140,131,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Commercial Biochar Products for Forest Restoration in the Pacific Northwest,Salem, OR,2015,Family Forests of Oregon,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000BC0512143FC25EC0FFB27BF2B0784640,157,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Oregon Military Department,Salem,OR,2013,Oregon Military Department,250000,FS WBU Grant,http://www.oregon.gov/omd/Pages/index.aspx,2013-01-01 00:00:00+00,0101000020E6100000BC0512143FC25EC0FFB27BF2B0784640,118,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,"CRE, LLC Wood Pellet Facility Pre-Finan- cial Close Project",Pocatello, ID,2015,"Centennial Renewable Energy, LLC",,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000C3D84290831C5CC09D8026C2866F4540,140,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Market Access for Tall Wood Construction,Leesburg, VA,2015,American Wood Council,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000A301BC05126453C049BA66F2CD8E4340,164,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Calaveras Healthy Impact Products Solution,Wilseyville,CA,2013,Calaveras Healthy Impact Products Solution,184405,FS WBU Grant,http://www.sbcouncil.org/Calaveras-Healthy-Impact-Product-Solutions-(CHIPS),2013-01-01 00:00:00+00,0101000020E6100000BBB88D06F0205EC0AA4885B185304340,113,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Innovations in the Design and Fabrication of Wood Barrels Used to Age Wine and Other Spirits,South Boston, VA,2015,Southern Virginia Higher Education Center,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000A9DE1AD82AC351C0ADC090D5AD2A4540,166,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Development of Bio-Based Spray Foam Insulation from Wood Residues,Baton Rouge, LA,2015,Louisiana State University,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E610000032E6AE25E4C956C008AC1C5A64733E40,142,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Round Wood Guardrail Demonstration Project,Phoenix, AZ,2015,AZ State Forestry Division,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E610000022A64412BD045CC01A170E8464B94040,132,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Development of a National Woodchip Heating Fuel Stand,Burlington, VT,2015,Vermont Energy Investment Corpo- ration,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000158C4AEA04DC53C0F146E6913F0C4240,167,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Central OR Biomass Energy Cluster Development Strategy + Project Develop- ment,Bend, OR,2015,Central Oregon Intergovernmental Council,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000008386FE092E545EC0DDCD531D72074640,153,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Statewide Wood Energy Team for Michi- gan,East Lansing, MI,2015,Michigan State University,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000FE60E0B9F71E55C02EE7525C555E4540,144,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Community Sustainability Handbook: Best Practices for a Biomass-Heated Green- house at your Alaska School,Anchorage, AK,2015,Alaska Energy Authority,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000C6A70018CFBC62C06B48DC63E99B4E40,129,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,The Pennsylvania Wood Energy Team,University Park, PA,2015,The Pennsylvania State University,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E610000044696FF0851754C082CAF8F719BF3940,159,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,"Conversion to Biomass in the Food Processing and Commercial Laun- dry Sectors in Yakima, WA",Yakima, WA,2015,"Yakima Specialties, Inc.",,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E6100000F8C264AA60205EC08CF337A1104D4740,169,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Utilization of Low-Value Lumber from Small-Diameter Logs Harvested in Pacific Northwest Forest Restoration Programs in Hybrid Cross Laminated Timber Core Layers,Corvallis, OR,2015,Oregon State University,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000009B8F6B43C5D05EC0C0266BD443484640,154,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Menominee Tribal Enterprise’s Woody Biomass Value-Added Fuel Market Development and Energy Cluster Project,Neopit, WI,2015,Menominee Tribal Enterprises,,Wood Innovations Grant,,2015-01-01 00:00:00+00,0101000020E61000000C3CF71E2E3556C07DCB9C2E8B7D4640,171,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
,,Menominee Tribal Enterprises,Neopit,WI,2013,Menominee Tribal Enterprises,250000,FS WBU Grant,http://www.mtewood.com/,2013-01-01 00:00:00+00,0101000020E61000000C3CF71E2E3556C07DCB9C2E8B7D4640,119,2015-04-17 23:53:25.482888+00,2015-12-10 19:57:24.212936+00,true,
